name,current_price,original_price,discount_rate,review_count,rating_average,brand,battery,bluetooth,camera_primary,camera_secondary,GPU,chip_set,NFC,CPU,display_type,GPS,internet,accessories,model,jack_3.5mm,sim_type,charging_port,weight,camera_video,RAM,ROM,screen_size,wifi,source,category,category_id,url,image_url,thumbnails
APPLE IPHONE 16 Pro Max 256GB (CTY),33290000,34990000,5,0,0,iphone,N/A,Bluetooth 5.3,"Fusion 48MP, Ultra Wide 48MP, Telephoto 5x 12MP",12MP,GPU 6 lõi mới,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,N/A,Chip A18 Pro,Super Retina XDR,"GPS tần số kép chuẩn xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)",N/A,N/A,iOS 18,N/A,N/A,USB‑C - USB 3 (lên đến 10Gb/s)11,N/A,N/A,Đang cập nhật,256GB,OLED 6.9 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-pro-max-256gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855468669_thumb_iphone_16_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964014451_2_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964016923_3_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964018681_4_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964023851_5_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964026308_6_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964028743_7_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964038488_9_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964033098_8_iphone_16_pro_sa_mac_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855468669_thumb_iphone_16_pro_didongviet.jpg
APPLE IPHONE 16 128GB (CTY),21590000,22990000,6,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OLED 6.1 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-128gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727854642416_thumb_iphone_16_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957892293_2_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957895190_3_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957897843_4_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957903667_5_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957907055_6_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957909830_7_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957921565_9_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725957915770_8_iphone_16_xanh_duong_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727854642416_thumb_iphone_16_didongviet.jpg
APPLE IPHONE 16 Pro 256GB (CTY),31290000,31990000,2,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super Retina XDR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OLED 6.3 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-pro-256gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855652244_thumb_iphone_16_pro_trang_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107887597_2_iphone_16_pro_trang_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107891317_3_iphone_16_pro_trang_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107898707_4_iphone_16_pro_trang_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725962714479_5_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725962717110_6_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725962719163_7_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725962723686_9_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107903970_8_iphone_16_pro_trang_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855652244_thumb_iphone_16_pro_trang_didongviet.jpg
APPLE IPHONE 16 PLus 128GB (CTY),24890000,25990000,4,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super Retina XDR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OLED 6.7 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-plus-128gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855077401_thumb_iphone_16_plus_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107645800_2_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107649885_3_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107657711_4_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960028730_5_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960031185_6_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960033433_7_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960043994_9_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107663210_8_iphone_16_xanh_la_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855077401_thumb_iphone_16_plus_didongviet.jpg
SAMSUNG GALAXY A55 5G SM-A556F/DS 8GB/128GB (CTY) (ĐÃ KÍCH HOẠT),8690000,9990000,13,0,0,samsung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super AMOLED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6 inch - Tần số quét 120Hz,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/samsung-galaxy-a55-5g-128gb-bhdt,"https://cdn-v2.didongviet.vn/files/products/2024/3/18/1/1713423253960_samsung_galaxy_a55_didongviet_xanh_6.png,https://cdn-v2.didongviet.vn/files/products/2024/3/18/1/1713423221733_samsung_galaxy_a55_didongviet_xanhden_8.png,https://cdn-v2.didongviet.vn/files/products/2024/3/18/1/1713423230403_samsung_a55_tim_didongviet.png",https://cdn-v2.didongviet.vn/files/products/2024/3/18/1/1713423253960_samsung_galaxy_a55_didongviet_xanh_6.png
APPLE IPHONE 16 256GB (CTY),24390000,25990000,6,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super Retina XDR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OLED 6.1 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-256gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727854664186_thumb_iphone_16_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958585614_2_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958588098_3_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958596978_4_iphone_16_xanh_duong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958608800_5_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958611777_6_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958614296_7_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958627347_9_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725958619928_8_iphone_16_xanh_duong_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727854664186_thumb_iphone_16_didongviet.jpg
APPLE IPHONE 16 PLus 256GB (CTY),27490000,28990000,5,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super Retina XDR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OLED 6.7 inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-plus-256gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855113263_thumb_iphone_16_plus_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107731651_2_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107734840_3_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107738939_4_iphone_16_xanh_la_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960469018_5_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960472908_6_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960474966_7_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725960479148_9_iphone_16_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/12/1/1726107745077_8_iphone_16_xanh_la_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855113263_thumb_iphone_16_plus_didongviet.jpg
APPLE IPHONE 16 Pro Max 512GB (CTY),39190000,40990000,4,0,0,iphone,N/A,Bluetooth 5.3,"Fusion 48MP, Ultra Wide 48MP, Telephoto 5x 12MP",12MP,GPU 6 lõi mới,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,N/A,Chip A18 Pro,Super Retina XDR,"GPS tần số kép chuẩn xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)",N/A,N/A,iOS 18,N/A,SIM kép (nano-SIM và eSIM) - Hỗ trợ hai eSIM,USB‑C - USB 3 (lên đến 10Gb/s)11,N/A,N/A,Đang cập nhật,512GB,OLED 6.9 inch,Wi‑Fi 7 (802.11be) với 2x2 MIMO,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-16-pro-max-512gb,"https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855505378_thumb_iphone_16_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964321138_2_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964327453_3_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964329464_4_iphone_16_pro_sa_mac_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964334889_5_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964337302_6_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964339166_7_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964341614_9_iphone_16_pro_den_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2024/8/10/1/1725964383935_8_iphone_16_pro_sa_mac_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2024/9/2/1/1727855505378_thumb_iphone_16_pro_didongviet.jpg
APPLE IPHONE 15 128GB (CTY),19290000,24990000,23,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super Retina XDR  OLED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.1inch,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-15-128gb,"https://cdn-v2.didongviet.vn/files/products/2023/8/29/1/1695953279709_thumb_iphone_15_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575075194_3_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575073396_2_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575079321_5_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575076969_4_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575081008_6_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575082894_7_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575084856_8_iphone_15_hong_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694575087880_9_iphone_15_hong_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2023/8/29/1/1695953279709_thumb_iphone_15_didongviet.jpg
SAMSUNG GALAXY A55 5G SM-A556F/DS 8GB/128GB (CTY),9490000,9990000,5,0,0,samsung,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Super AMOLED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6 inch - Tần số quét 120Hz,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/samsung-galaxy-a55-5g,"https://cdn-v2.didongviet.vn/files/products/2024/5/5/1/1717588341388_samsung_a55_didongviet.png,https://cdn-v2.didongviet.vn/files/products/2024/5/5/1/1717588354353_samsung_a55_didongviet_2.png,https://cdn-v2.didongviet.vn/files/products/2024/5/5/1/1717588361127_samsung_a55_didongviet_1.png,https://cdn-v2.didongviet.vn/files/products/2024/9/23/1/1729667626398_gallery_1280x720.jpg",https://cdn-v2.didongviet.vn/files/products/2024/5/5/1/1717588341388_samsung_a55_didongviet.png
APPLE IPHONE 15 PRO MAX 256GB (CTY),28590000,38990000,27,0,0,iphone,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-15-pro-max-256gb,"https://cdn-v2.didongviet.vn/files/products/2023/8/29/1/1695953606803_thumb_iphone_15_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546055406_2_iphone_15_pro_xam_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546059509_3_iphone_15_pro_xam_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546061910_4_iphone_15_pro_xam_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546068227_5_thumb_iphone_15_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546074481_5_iphone_15_pro_xam_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546082810_8_thumb_iphone_15_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546088730_9_thumb_iphone_15_pro_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/8/13/1/1694546085860_7_thumb_iphone_15_pro_didongviet.jpg",https://cdn-v2.didongviet.vn/files/products/2023/8/29/1/1695953606803_thumb_iphone_15_pro_didongviet.jpg
APPLE IPHONE 11 128GB (CTY),9790000,16990000,42,0,0,iphone,3110 mAh,"5.0, A2DP, LE",12 MP + 12 MP,"12 MP, f/2.2",N/A,N/A,N/A,Apple A13 Bionic (7 nm+),IPS LCD,"A-GPS, GLONASS, GALILEO, QZSS",N/A,N/A,iOS 13,N/A,Nano SIM,N/A,194 g,"2160p@24/30/60fps, 1080p@30/60/120/240fps, HDR, stereo sound rec.",4 GB,128 GB,6.1 inches,"Wi-Fi 802.11 a/b/g/n/ac/ax, dual-band, hotspot",didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/iphone-11-128gb-chinh-hang-vna,"https://cdn-v2.didongviet.vn/files/products/2023/4/9/1/1683605592281_thumb_iphone_11_didongviet.jpg,https://cdn-v2.didongviet.vn/files/media/catalog/product/i/p/iphone-11-128gb-mau-trang-white_1.jpg,https://cdn-v2.didongviet.vn/files/media/catalog/product/i/p/iphone-11-128gb-camera-chup-hinh.jpg,https://cdn-v2.didongviet.vn/files/media/catalog/product/i/p/iphone-11-128gb-hinh-anh.jpg",https://cdn-v2.didongviet.vn/files/products/2023/4/9/1/1683605592281_thumb_iphone_11_didongviet.jpg
XIAOMI REDMI 12C 4GB/64GB (CTY),2390000,3590000,33,0,0,xiaomi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.71 inches,N/A,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/xiaomi-redmi-12c-64gb,"https://cdn-v2.didongviet.vn/files/products/2023/8/9/1/1694250012970_xiaomi_redmi_12c_64gb_thumb_logo_bh19t_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/3/18/1/1681803471082_xiaomi_redmi_12c_64gb_didongviet.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702533158_xiaomi_redmi_12c_didongviet_6.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702539221_xiaomi_redmi_12c_didongviet_7.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702418280_xiaomi_redmi_12c_didongviet_1.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702421693_xiaomi_redmi_12c_didongviet_2.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702438017_xiaomi_redmi_12c_didongviet_5.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702429708_xiaomi_redmi_12c_didongviet_4.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688702423859_xiaomi_redmi_12c_didongviet_3.jpg",https://cdn-v2.didongviet.vn/files/products/2023/8/9/1/1694250012970_xiaomi_redmi_12c_64gb_thumb_logo_bh19t_didongviet.jpg
OPPO A17K 3GB/64GB (CTY),2950000,3290000,10,0,0,oppo,5000 mAh,v5.2,8 MP,5 MP,IMG PowerVR GE8320,2.3 GHz,OTG,MediaTek Helio G35 8 nhân,IPS LCD,GPS / BEIDOU / GLONASS,Hỗ trợ 4G,N/A,Android 12,3.5 mm,2 Nano SIM,Micro USB,189 g,FullHD 1080p@30fps HD 720p@30fps,3 GB,64 GB,"6.56"" - Tần số quét 60 Hz",Dual-band (2.4 GHz/5 GHz) Wi-Fi Direct Wi-Fi hotspot Wi-Fi 802.11 a/b/g/n/ac,didongviet.vn,dien-thoai,mobiles,https://didongviet.vn/dien-thoai/oppo-a17k,"https://cdn-v2.didongviet.vn/files/products/2024/8/30/1/1727660379063_oppo_a17k_didongviet.png,https://cdn-v2.didongviet.vn/files/products/2023/6/4/1/1688443894153_oppo_a17k_didongviet_1.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/4/1/1688443899088_oppo_a17k_didongviet_2.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688712725336_oppo_a17k_didongviet_1.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688712735666_oppo_a17k_didongviet_2.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688712748243_oppo_a17k_didongviet_3.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688712754921_oppo_a17k_didongviet_4.jpg,https://cdn-v2.didongviet.vn/files/products/2023/6/7/1/1688712757679_oppo_a17k_didongviet_5.jpg",https://cdn-v2.didongviet.vn/files/products/2024/8/30/1/1727660379063_oppo_a17k_didongviet.png
